% Model,rectangularwaveguide.mph
% Version,COMSOL 5.3.0.316
% Date,"Aug 9 2021, 15:53"
% Table,Probe Table 1 - 
% wvln (nm),lambda,Effective mode index (1)
1499.9999999999998,-5852897.465586799i,1.3972763446362
1499.9999999999998,-5853194.048920613i,1.3973471486916251
1499.9999999999998,-5868694.43592216i,1.4010475935084552
1499.9999999999998,-5868694.559964798i,1.4010476231214537
1499.9999999999998,3.318027248493857E-6-5877234.101759381i,1.4030862885540465+7.921206568948478E-13i
1499.9999999999998,-3.6849780653734156E-6-5877234.384093658i,1.4030863559563904-8.797237114649027E-13i
1499.9999999999998,8.366083321499259E-8-5878775.188344266i,1.4034541958756352+1.9972552724728754E-14i
1499.9999999999998,-5.49480849871651E-7-5880029.52786793i,1.4037536473789056-1.3117889009170904E-13i
1499.9999999999998,4.825813647228005E-6-5881175.9300962435i,1.4040273307510267+1.1520781446353591E-12i
1499.9999999999998,9.435825855909992E-7-5882594.240696207i,1.4043659274652742+2.2526374907625025E-13i
1501,-5848710.807642523i,1.3972077049116494
1501,-5849007.951198366i,1.397278690002098
1501,-5864513.5978795905i,1.400982858275273
1501,-5864513.722226996i,1.40098288798082
1501,1.9001968327969167E-6-5873064.2910692645i,1.4030255467924309+4.539410039154801E-13i
1501,-1.6602876826833472E-6-5873064.573126538i,1.4030256141735356-3.9662873048601345E-13i
1501,5.8131060403447754E-8-5874601.793937371i,1.403392843265841+1.3887020261670285E-14i
1501,-2.159022402258901E-7-5875858.607020707i,1.4036930853159992-5.15772250454099E-14i
1501,3.277829612597988E-6-5877005.558164936i,1.4039670822750863+7.830458609998343E-13i
1501,6.751078708738543E-7-5878426.697237945i,1.4043065804188422+1.6127757891514836E-13i
1502,-5844529.543464256i,1.3971390219161572
1502,-5844827.247888534i,1.3972101883744774
1502,-5860338.149433898i,1.4009180806270474
1502,-5860338.274085911i,1.4009181104252013
1502,9.69913548939681E-7-5868899.875826389i,1.4029647675244203+2.3185853660782376E-13i
1502,-6.365745852857505E-7-5868900.157605542i,1.4029648348839312-1.5217361583147177E-13i
1502,3.821454867850244E-8-5870433.788862383i,1.4033314505470444+9.135215549274741E-15i
1502,-3.519996423559379E-8-5871693.0787622295i,1.4036324847099992-8.414576954033321E-15i
1502,2.1492535308325518E-6-5872840.576968601i,1.4039067949876318+5.13780613749344E-13i
1502,4.6117664399699574E-7-5874264.548289884i,1.404247196363698+1.102446108849033E-13i
1502.9999999999998,-5840353.66228997i,1.3970702956506738
1502.9999999999998,-5840651.928229256i,1.397141643810062
1502.9999999999998,-5856168.079828937i,1.4008532605641453
1502.9999999999998,-5856168.204785394i,1.4008532904549642
1502.9999999999998,4.2094628881609205E-7-5864740.845269911i,1.4029039507520524+1.0069451101335603E-13i
1502.9999999999998,-1.6742686561971646E-7-5864741.126770518i,1.4029040180897787-4.0050160345852966E-14i
