wvln,lambda,neff
1499.9999999999998,-0.001900059067682852-5429495.170701146i,1.296196492411403-4.536056891983475E-10i
1499.9999999999998,-9.163587134534634E-6-5498754.065157751i,1.3127308355207548-2.187645283448367E-12i
1499.9999999999998,-5579868.225105895i,1.3320954147871737
1499.9999999999998,-5586463.885860187i,1.3336700128052332
1499.9999999999998,-5724988.509315387i,1.3667403306506498
1499.9999999999998,-5742188.696748819i,1.3708465729290003
1499.9999999999998,-5826983.146050198i,1.3910897565593139
1499.9999999999998,-5851618.894736024i,1.396971108329698
1499.9999999999998,-5887517.9404627085i,1.4055413741995242
1499.9999999999998,-5916557.071136062i,1.4124739559844006
1501,-0.001074392386996147-5425143.083314811i,1.2960209464196326-2.5666328368430867E-10i
1501,-2.1554302354887823E-6-5494452.511375073i,1.3125783844762855-5.149141120961588E-13i
1501,7.026558782456958E-10-5575526.752791469i,1.3319463372615106+1.678585656352653E-16i
1501,-5582125.483113915i,1.333522718305536
1501,-5720740.173789988i,1.3666365993292793
1501,-5737956.010761193i,1.370749317645124
1501,-5822798.468816961i,1.391017465617881
1501,-5847458.780741628i,1.3969086062401266
1501,-5883370.315854405i,1.4054875692295792
1501,-5912439.247251259i,1.4124318918772576
1502,-1.3357495316547192E-4-5420796.506057438i,1.2958453323157422-3.193118933358768E-11i
1502,4.2559574108267404E-6-5490156.473904975i,1.3124258828832398+1.0173897026371766E-12i
1502,-5571190.7040896835i,1.33179717432082
1502,-5577792.498941215i,1.3333753381632927
1502,-5716497.261075512i,1.3665328120475908
1502,-5733728.745497195i,1.370652010883363
1502,-5818619.211289672i,1.3909451382369478
1502,-5843304.087710817i,1.3968460758304153
1502,-5879228.107953272i,1.4054337388974907
1502,-5908326.843465655i,1.4123898127047025
1502.9999999999998,8.204864787208784E-4-5416455.428039373i,1.2956696501257114+1.9626847168609802E-10i
1502.9999999999998,8.633874024250542E-6-5485865.941908726i,1.312273330782732+2.065307964747615E-12i
1502.9999999999998,-5566860.068239178i,1.3316479259804626
1502.9999999999998,-5573464.922587855i,1.333227872393163
1502.9999999999998,-5712259.760413366i,1.366428968821225
1502.9999999999998,-5729506.890184651i,1.3705546526551124
1502.9999999999998,-5814445.362712779i,1.390872774431399
1502.9999999999998,-5839154.8048686655i,1.3967835171114154
1502.9999999999998,-5875091.306005409i,1.4053798832171067
1502.9999999999998,-5904219.849003976i,1.412347718477091
1504,0.0017003575760724406-5412119.838403685i,1.2954938998764212+4.070129511508055E-10i
1504,1.0600644472613954E-5-5481580.904575761i,1.3121207282157172+2.5374660316244354E-12i
1504,-5562534.834507213i,1.3314985922557996
1504,-5569142.74332832i,1.333080321009834
1504,-5708027.661073597i,1.3663250696658273
1504,-5725290.434080014i,1.3704572429717607
1504,-5810276.912359351i,1.3908003742161226
1504,-5835010.921468856i,1.3967209300939656
1504,-5870959.899285536i,1.40532600220228
1504,-5900118.253119561i,1.412305609204766
1504.9999999999998,0.0024556924551254957-5407789.726336291i,1.2953180815981027+5.882075674053831E-10i
1504.9999999999998,1.0691555918524518E-5-5477301.3511226075i,1.3119680752227585+2.5609290306234815E-12i
1504.9999999999998,-8.961818328450403E-10-5558214.992189593i,1.3313491731621956-2.1466081176021684E-16i
1504.9999999999998,-5564825.950465712i,1.33293268402802
1504.9999999999998,-5703800.95235477i,1.3662211145970442
1504.9999999999998,-5721079.366468268i,1.370359781844692
1504.9999999999998,-5806113.849530986i,1.3907279376060122
1504.9999999999998,-5830872.426793586i,1.3966583147888947
1504.9999999999998,-5866833.877096897i,1.4052720958668672
1504.9999999999998,-5896022.04509425i,1.412263484898058
1505.9999999999998,0.0030732322639134843-5403465.081066788i,1.2951421953245734+7.366148797692252E-10i
1505.9999999999998,9.675882404549086E-6-5473027.270793082i,1.3118153718440948+2.3191865573518306E-12i
1505.9999999999998,-8.474354168527667E-10-5553900.530610567i,1.3311996687150192-2.031195445352636E-16i
1505.9999999999998,-5560514.533331658i,1.332784961462462
1505.9999999999998,-5699579.623583892i,1.3661171036305264
1505.9999999999998,-5716873.6766628325i,1.3702622692852835
1505.9999999999998,-5801956.163557709i,1.390655464615964
1505.9999999999998,-5826739.310153471i,1.3965956712070184
1505.9999999999998,-5862713.228771165i,1.4052181642247301
1505.9999999999998,-5891931.214238304i,1.4122213455672845
1507,0.0035640350700004864-5399145.891863605i,1.2949662410921072+8.548213347363218E-10i
1507,8.150740082000056E-6-5468758.652858874i,1.3116626181198026+1.9549264749471655E-12i
1507,-1.3200303303782164E-9-5549591.439122732i,1.3310500789296416-3.166046536422496E-16i
1507,-5556208.481286211i,1.3326371533279278
1507,-5695363.6641163025i,1.3660130367819252
1507,-5712673.354005465i,1.3701647053049075
1507,-5797803.843797888i,1.3905829552608782
1507,-5822611.5608874485i,1.3965329993591413
1507,-5858597.943668347i,1.4051642072897343
1507,-5887845.749890298i,1.41217919122275
1507.9999999999998,4.919649335191725E-6-5394832.149559714i,1.2947902193056449+1.1807436570829418E-12i
1507.9999999999998,-2.593568528141039E-9-5464495.486655651i,1.3115098140984824-6.22471111285644E-16i
1507.9999999999998,-5545287.707106943i,1.3309004038214374
1507.9999999999998,-5551907.783717773i,1.332489259639214
1507.9999999999998,-5691153.063335597i,1.3659089140668965
1507.9999999999998,-5708478.387866181i,1.3700670899149308
1507.9999999999998,-5793656.8796381345i,1.39051040955566
1507.9999999999998,-5818489.168362698i,1.396470299256058
1507.9999999999998,-5854488.0111767i,1.4051102250757512
