
wvln,neff
1.5E-6,1.4124739564818745+2.0661337883734676E-10i
1.5010000000000001E-6,1.4124318923626367+2.0129758563226867E-10i
1.5020000000000002E-6,1.4123898131782782+1.96061638885952E-10i
1.503E-6,1.4123477189391496+1.909044830468389E-10i
1.5040000000000001E-6,1.4123056096555877+1.8582899428662898E-10i
1.505E-6,1.4122634853379201+1.8083642566833096E-10i
1.506E-6,1.4122213459964505+1.7592398703932609E-10i
1.5070000000000001E-6,1.4121791916414852+1.7109547130047802E-10i
1.508E-6,1.4121370222833063+1.663491278069601E-10i
1.509E-6,1.4120948379321931+1.6168609134452234E-10i
1.5100000000000002E-6,1.4120526385984014+1.5710565114530355E-10i
1.511E-6,1.412010424292189+1.5261043721703926E-10i
1.512E-6,1.4119681950237857+1.4819858589789124E-10i
1.5130000000000002E-6,1.4119259508034137+1.4386950280419722E-10i
1.514E-6,1.4118836916412956+1.3962523904563218E-10i
1.5150000000000001E-6,1.4118414175476208+1.354623262339814E-10i
1.5160000000000002E-6,1.4117991285325837+1.3138522745688498E-10i
1.517E-6,1.4117568246063499+1.2739047661469069E-10i
1.5180000000000001E-6,1.4117145057790916+1.2347794190317286E-10i
1.5190000000000002E-6,1.4116721720609509+1.196464599430568E-10i
1.52E-6,1.411629823462067+1.1589681812719185E-10i
1.5210000000000001E-6,1.4115874599925637+1.1222922960007608E-10i
1.522E-6,1.4115450816625537+1.0864161751360322E-10i
1.523E-6,1.4115026884821391+1.0513477002878271E-10i
1.5240000000000001E-6,1.4114602804614054+1.017073008613513E-10i
1.525E-6,1.411417857610424+9.835816962488219E-11i
1.526E-6,1.4113754199392632+9.508850885029324E-11i
1.5270000000000002E-6,1.4113329674579673+9.189568069130047E-11i
1.528E-6,1.4112905001765748+8.877819413571032E-11i
1.529E-6,1.4112480181051101+8.573855372215379E-11i
1.5300000000000002E-6,1.4112055212535877+8.27720763653727E-11i
1.531E-6,1.4111630096320058+7.988012809118393E-11i
1.5320000000000001E-6,1.4111204832503494+7.706156660006184E-11i
1.5330000000000002E-6,1.4110779421185973+7.431639036644042E-11i
1.534E-6,1.4110353862467104+7.164061588682347E-11i
1.5350000000000001E-6,1.4109928156446383+6.903765942964487E-11i
1.5360000000000002E-6,1.4109502303223154+6.65032016795364E-11i
1.537E-6,1.4109076302896724+6.40356586457272E-11i
1.5380000000000001E-6,1.4108650155566167+6.16377641941795E-11i
1.539E-6,1.4108223861330493+5.930623213940769E-11i
1.54E-6,1.4107797420288553+5.703959789541306E-11i
1.5410000000000002E-6,1.4107370832539141+5.483651332465674E-11i
1.542E-6,1.410694409818087+5.2697899281977985E-11i
1.543E-6,1.4106517217312193+5.062071108138657E-11i
1.5440000000000002E-6,1.4106090190031508+4.860598524441646E-11i
1.545E-6,1.4105663016437082+4.664909954495197E-11i
1.546E-6,1.4105235696627034+4.475301738797865E-11i
1.5470000000000002E-6,1.4104808230699366+4.291436715154129E-11i
1.548E-6,1.4104380618751884+4.1132382265289304E-11i
1.5490000000000001E-6,1.4103952860882396+3.9405507459778205E-11i
1.5500000000000002E-6,1.410352495718855+3.7733883399287185E-11i
