wvln,lambda,neff
1499.9999999999998,8.849992903565565E-4-5887517.939962614i,1.4055413740801355+2.1127801754700012E-10i
1499.9999999999998,-2.3863406026853746E-6-5916557.071136886i,1.4124739559845974-5.696968542473636E-13i
1501,8.433624039200971E-4-5883370.3154067155i,1.40548756912263+2.0147216840508075E-10i
1501,-2.062714226253719E-6-5912439.247251814i,1.4124318918773902-4.927650391239381E-13i
1502,8.026694352317046E-4-5879228.107555043i,1.4054337388022937+1.9187871005215266E-10i
1502,-1.779062200571861E-6-5908326.843465977i,1.4123898127047796-4.252861080349123E-13i
1502.9999999999998,7.630533769593939E-4-5875091.305653622i,1.405379883132956+1.8252990633582923E-10i
1502.9999999999998,-1.5207400157370537E-6-5904219.849004068i,1.412347718477113-3.637760358780293E-13i
1504,7.246277841015347E-4-5870959.898977203i,1.4053260021284746+1.7345345299327164E-10i
1504,-1.2929682585366273E-6-5900118.253119453i,1.4123056092047404-3.094965635798068E-13i
1504.9999999999998,6.874314947474333E-4-5866833.8768290635i,1.4052720958027134+1.6465922124705557E-10i
1504.9999999999998,-1.091780057391243E-6-5896022.045093956i,1.4122634848979878-2.6151210032813086E-13i
1505.9999999999998,6.515040423770474E-4-5862713.22854093i,1.4052181641695456+1.5615727372119084E-10i
1505.9999999999998,-9.098557514212441E-7-5891931.214237828i,1.4122213455671704-2.1808090875859851E-13i
1507,6.168541844553475E-4-5858597.94347293i,1.4051642072428643+1.479503166880267E-10i
1507,-7.639647928816667E-7-5887845.749889661i,1.412179191222597-1.8323428112130638E-13i
1507.9999999999998,5.83467862971559E-4-5854488.011013438i,1.4051102250365675+1.4003558615190586E-10i
1507.9999999999998,-6.366802700343308E-7-5883765.64141627i,1.4121370218745612-1.5280686472008348E-13i
1509,5.513045418099787E-4-5850383.420578987i,1.4050562175645618+1.3240395005854714E-10i
1509,-5.264961680065367E-7-5879690.878212599i,1.4120948375333433-1.2644585169911648E-13i
1510,5.203435783200271E-4-5846284.161614128i,1.4050021848407483+1.2505103142397422E-10i
1510,-4.338310638049128E-7-5875621.4497016035i,1.4120526382092047-1.0426000099341726E-13i
1510.9999999999998,4.905341156048828E-4-5842190.223591428i,1.404948126879047+1.1796517410651625E-10i
1510.9999999999998,-3.562286845334361E-7-5871557.345334233i,1.412010423912405-8.566698514109168E-14i
1512,4.618212858323213E-4-5838101.596011274i,1.4048940436933697+1.111337243873802E-10i
1512,-2.8980966558046456E-7-5867498.554589281i,1.4119681946531886-6.974045694184863E-14i
1513,4.3417347880561326E-4-5834018.268401852i,1.4048399352976384+1.0454959408968632E-10i
1513,-2.4026633348510065E-7-5863445.066973277i,1.4119259504417805-5.78564764213316E-14i
1513.9999999999998,4.0753192850515166E-4-5829940.2303190045i,1.4047858017057715+9.819913142994309E-11i
1513.9999999999998,-2.0229068769062985E-7-5859396.872020441i,1.4118836912883974-4.874408221326545E-14i
1515,3.8185786392149444E-4-5825867.471346206i,1.404731642931703+9.20734684046772E-11i
1515,-1.6631099533815267E-7-5855353.959292597i,1.41184141720325-4.010086375428413E-14i
1516,3.5711265952527953E-4-5821799.981094361i,1.4046774589893525+8.61637474292968E-11i
1516,-1.4374355555133837E-7-5851316.318379011i,1.4117991281965245-3.468228606507259E-14i
1516.9999999999998,3.332715582658876E-4-5817737.74920183i,1.4046232498926545+8.046443470788015E-11i
1516.9999999999998,-1.2075398265582692E-7-5847283.9388963925i,1.4117568242784053-2.915460594262421E-14i
1518,3.1030913989364635E-4-5813680.765334259i,1.4045690156555402+7.496982045664092E-11i
1518,-1.0304197849830671E-7-5843256.810488729i,1.411714505459057-2.4894653860865153E-14i
1519,2.881981394722523E-4-5809629.019184526i,1.4045147562919444+6.967373274403662E-11i
1519,-9.248603817618569E-8-5839234.922827225i,1.4116721717486314-2.2359087807583653E-14i
1519.9999999999998,2.669413530433968E-4-5805582.500472691i,1.4044604718158162+6.457725449805534E-11i
1519.9999999999998,-8.574477195709456E-8-5835218.265610252i,1.4116298231572764-2.0742990538640278E-14i
1521,2.465247250573925E-4-5801541.198945738i,1.404406162241078+5.967739108330475E-11i
1521,-7.759984130816567E-8-5831206.828563151i,1.4115874596951108-1.87849558565441E-14i
1521.9999999999998,2.269332627040749E-4-5797505.104377776i,1.404351827581695+5.497091188016276E-11i
1521.9999999999998,-6.805621425610971E-8-5827200.601438317i,1.4115450813722656-1.6485516985002596E-14i
1523,2.0815959868397265E-4-5793474.206569653i,1.404297467851605+5.045642509453617E-11i
1523,-6.892025246819068E-8-5823199.574014906i,1.4115026881988348-1.670578526353363E-14i
1524,1.9019005763180695E-4-5789448.495349045i,1.4042430830647583+4.6131004207344774E-11i
1524,-6.695321803507051E-8-5819203.7360988865i,1.4114602801849085-1.6239645864403882E-14i
1524.9999999999998,1.7300071531089375E-4-5785427.960570345i,1.4041886732351148+4.1989226476718825E-11i
1524.9999999999998,-6.593266837401809E-8-5815213.077522933i,1.4114178573405693-1.6002602877080208E-14i
1526,1.5654859678066143E-4-5781412.59211452i,1.4041342383766302+3.802102707725068E-11i
1526,-6.914803681277445E-8-5811227.588146291i,1.4113754196758808-1.679401434482865E-14i
1527,1.408033137211657E-4-5777402.379889052i,1.4040797785032606+3.42193727461884E-11i
1527,-7.51748901808714E-8-5807247.257854733i,1.411332967200897-1.8269723348608416E-14i
1527.9999999999998,1.2573613924083248E-4-5773397.313827865i,1.404025293628968+3.0577614915668373E-11i
1527.9999999999998,-7.696395270520232E-8-5803272.076560462i,1.4112904999256606-1.8716767688403283E-14i
1529,1.1131760063278336E-4-5769397.383891183i,1.4039707837677073+2.7088905237125755E-11i
1529,-8.484244646697232E-8-5799302.034202005i,1.4112480178601987-2.064623185700317E-14i
1530,9.754997564552436E-5-5765402.5800655065i,1.4039162489334387+2.375410805922538E-11i
1530,-9.738440850480974E-8-5795337.120744149i,1.411205521014527-2.3713791291070735E-14i
1530.9999999999998,8.447974786611214E-5-5761412.892363475i,1.4038616891401177+2.0584860650179793E-11i
1530.9999999999998,-1.1597640943182332E-7-5791377.32617783i,1.4111630093986438-2.825953304981318E-14i
1532,7.219255231374765E-5-5757428.310823815i,1.4038071044017022+1.7602375983111354E-11i
1532,-1.396630247008074E-7-5787422.640520113i,1.4111204830225477-3.4053389067587046E-14i
1533,6.084260383081787E-5-5753448.825511275i,1.403752494732158+1.484465396386336E-11i
1533,-1.7169227067935502E-7-5783473.05381401i,1.411077941896212-4.189025758319074E-14i
1533.9999999999998,5.065077295229373E-5-5749474.426516597i,1.4036978601454708+1.2366066240758078E-11i
1533.9999999999998,-2.1669502589007263E-7-5779528.556128473i,1.4110353860296037-5.290472164607067E-14i
1535,4.191124697591023E-5-5745505.103956368i,1.403643200655633+1.0239036565858406E-11i
1535,-2.755568128528222E-7-5775589.137558276i,1.4109928154326759-6.731931131500704E-14i
1536,3.4960177205172015E-5-5741540.847973052i,1.4035885162766706+8.54643458114559E-12i
1536,-3.5008884377502474E-7-5771654.788223931i,1.410950230115369-8.558341633547295E-14i
1536.9999999999998,3.018053709901997E-5-5737581.648734887i,1.4035338070226386+7.382797618560349E-12i
1536.9999999999998,-4.37450017941768E-7-5767725.498271606i,1.4109076300876084-1.0700952538066458E-13i
1538,2.794074669105687E-5-5733627.496435846i,1.4034790729076334+6.839344426663225E-12i
1538,-5.42697760673834E-7-5763801.25787307i,1.4108650153593145-1.32841722015082E-13i
1538.9999999999998,2.854266630858593E-5-5729678.381295461i,1.403424313945768+6.991225199145181E-12i
1538.9999999999998,-6.592833236436469E-7-5759882.05722557i,1.4108223859403901-1.6148449958394944E-13i
1540,3.2241198455561336E-5-5725734.29355884i,1.4033695301511984+7.902273002607275E-12i
1540,-7.941085771081849E-7-5755967.886551741i,1.4107797418407209-1.9463491032041512E-13i
1541,3.9139743277837965E-5-5721795.223496369i,1.403314721538069+9.599326049534486E-12i
1541,-9.332429650259852E-7-5752058.736099603i,1.410737083070193-2.2888508596302677E-13i
1541.9999999999998,4.924028063876673E-5-5717861.161403719i,1.4032598881205363+1.208439812540263E-11i
1541.9999999999998,-1.0785180952578258E-6-5748154.59614238i,1.4106944096386704-2.6468659153590307E-13i
1543,6.240352082169714E-5-5713932.097601626i,1.4032050299127348+1.5324811846823335E-11i
1543,-1.2137718553614825E-6-5744255.456978465i,1.4106517215560066-2.9807333085470795E-13i
1544,7.833848674927178E-5-5710008.022435894i,1.4031501469287957+1.9250526227024105E-11i
1544,-1.3436451093830922E-6-5740361.308931344i,1.4106090188320428-3.3018094287138283E-13i
1544.9999999999998,9.65549353577494E-5-5706088.926277336i,1.4030952391828544+2.3742316649882833E-11i
1544.9999999999998,-1.454353561159066E-6-5736472.142349491i,1.410566301476606-3.576173775269579E-13i
1546,1.1627659145014408E-4-5702174.7995217545i,1.403040306689065+2.8610267181330884E-11i
1546,-1.535393585408522E-6-5732587.947606287i,1.4105235694995073-3.7778903009789734E-13i
1547,1.3630132600019035E-4-5698265.632589831i,1.4029853494615931+3.3559117075337735E-11i
1547,-1.5827365566669543E-6-5728708.715099938i,1.4104808229105412-3.8968983621281173E-13i
1547.9999999999998,1.5510786690871065E-4-5694361.415927051i,1.4029303675146163+3.8214212416866605E-11i
1547.9999999999998,-1.601084036710845E-6-5724834.435253431i,1.4104380617194947-3.9446203919581117E-13i
1549,1.7122541300702276E-4-5690462.140003287i,1.4028753608622417+4.2212373468295265E-11i
1549,-1.5896203283164304E-6-5720965.098514431i,1.4103952859361413-3.9189070006176673E-13i
